a        阿呵啊嗬
chuǎng   闯傸磢闖
chuāng   刅创疮窓創窗牎摐牕瘡窻
chuí     垂倕埀桘陲捶菙圌搥棰椎腄槌硾锤箠錘鎚顀
chuì     惙
chuī     吹炊龡
chún     纯肫陙唇浱純莼淳脣湻犉滣蒓鹑漘蓴膞醇醕錞鯙鶉
chǔn     朐偆萶惷睶賰蠢
chūn     芚旾杶春萅堾媋暙椿槆瑃箺蝽橁輴櫄鰆鶞
chuo     绰綽歠
chuò     辶吷辵拺哾娕娖啜婥婼惙涰淖绰辍酫綽踀箹輟鋜龊擉磭餟繛歠鏃嚽齪鑡孎
chuō     逴趠踔戳繛
cí       词珁兹垐柌祠茈茨瓷粢詞辝慈甆辞磁雌鹚糍辤飺餈嬨濨薋鴜礠辭鶿鷀
cì       朿次伺佽刺刾庛茦栨莿絘蛓赐螆賜
cǐ       此佌泚玼皉啙跐鮆
cī       刺呰呲差玼疵趀偨跐縒骴髊蠀齹
cóng     从丛徔従婃孮徖從悰淙琮碂慒漎潀潈誴賨賩樷錝藂叢灇欉爜
còng     愡憁謥
cōng     匆囪囱苁忩枞茐怱悤棇焧葱楤漗聡蓯蔥骢暰樅樬潨熜瑽璁聦聪瞛篵聰蟌鍯繱鏓鏦騘驄
còu      凑湊傶楱腠辏輳
cú       徂殂
cù       卒促猝脨媨趋酢瘄蔟誎趗噈憱趣踧醋瘯踿簇縬趨蹙鼀蹴蹵顣
cǔ       皻
cū       怚粗觕麁麄橻麆麤
cuán     菆攅濽攒櫕巑攢灒欑穳
cuàn     窜熶窽篡殩窾簒镩竄鑹爨
cuān     汆撺鋑镩蹿攛躥鑹
cuì      伜忰疩倅粋紣翆脃脆啐啛崒悴淬萃椊毳焠琗瘁粹綷翠膵膬濢竁襊顇臎
cuǐ      漼熣璀趡皠
cuī      隹衰崔脺催凗嵟缞墔慛摧榱槯漼獕磪縗鏙
cun      籿
cún      存侟拵澊蹲
cùn      寸吋
cǔn      刌忖
cūn      邨村皴踆墫澊竴膥
cuó      虘嵯嵳痤睉矬蒫瘥蔖鹾酂鹺酇齹
cuò      剉剒厝夎挫莝莡庴措逪锉蓌错縒諎銼錯
cuǒ      脞
cuō      搓瑳遳磋撮蹉醝鎈
da       垯疸塔瘩墶繨躂
dá       打达迏迖迚呾妲怛沓炟羍荅荙畗剳匒惮畣笪逹溚答詚達跶瘩靼憚薘鞑蟽躂鐽韃龖龘
dà       大亣汏垯眔墶
dǎ       打
dā       咑哒耷笚搭答嗒褡噠墶撘鎝鎉
dài      大代诒轪侢垈岱帒甙绐迨隶骀带待怠柋殆毒玳贷帯貣軑埭帶紿蚮袋軚逮釱棣詒貸軩瑇跢廗箉叇曃緿蝳駘隷鴏戴艜隸黛簤蹛瀻霴襶黱靆
dǎi      歹歺逮傣
dāi      呆呔待獃懛
dàn      旦石但帎呾担沊泹狚诞唌柦疍訑啖啗弹惔惮淡萏蛋啿弾氮腅蜑觛亶瘅窞蓞誕僤噉馾髧儋嘾彈憚醈憺擔澹禫餤駳鴠癉膻癚嚪繵贉霮饏黮
dǎn      伔刐抌担玬瓭胆衴疸紞掸赕亶馾撢撣賧燀黕膽皽黮黵
dān      丹妉单担単眈砃耼耽郸聃躭酖單媅愖殚瘅匰箪褝鄲頕儋勯擔殫甔癉襌簞聸
dàng     氹凼圵当宕砀垱挡荡档偒菪場婸崵愓瓽逿嵣當雼潒碭儅瞊蕩趤壋擋檔璗盪礑簜蘯闣
dǎng     挡党谠擋譡黨攩灙欓讜
dāng     当珰裆铛筜當儅噹澢璫襠簹艡蟷闣鐺
dao      椡槝
